#Pfeifer, Nov 29, 2011
#site#, S2, S3, S4
1 0.35197932014 0.294445838692 0.265720379321
2 0.44553440749 0.381476380651 0.347099257382
3 0.49588763948 0.428766237417 0.391847307309
4 0.52793827965 0.458864328945 0.420473321876
5 0.54926442702 0.478860250627 0.439539954969
6 0.56305842322 0.491774666550 0.451871068785
7 0.57085658305 0.499067880259 0.458839916553
8 0.57338407753 0.501430447094 0.461098120714
9 0.57085658305 0.499067880259 0.458839916553
10 0.5630584232 0.491774666550 0.451871068785
11 0.5492644270 0.478860250627 0.439539954969
12 0.5279382796 0.458864328945 0.420473321876
13 0.4958876394 0.428766237417 0.391847307309
14 0.4455344074 0.381476380651 0.347099257382
15 0.3519793201 0.294445838692 0.265720379321
